x,y,u,v,S
66.986565,1.781031,0.884117,-0.001099,1.319377
66.986549,-1.778780,0.885279,0.000920,1.321113
60.976700,-1.778779,0.882861,0.001177,1.447251
60.976269,1.781041,0.882245,-0.001210,1.446250
66.986794,18.032118,1.007364,0.000678,1.452132
66.986801,-18.024202,1.007356,-0.000666,1.452164
66.986778,-13.993404,1.010054,-0.000548,1.475980
66.986832,13.932346,1.010118,0.000555,1.476342
66.987007,5.862370,1.000378,-0.000241,1.487705
66.987076,-5.842959,1.001073,0.000186,1.488774
66.987015,-9.960989,1.013507,-0.000394,1.496535
60.976341,18.032118,1.007583,0.000614,1.584582
66.986969,9.916142,1.013573,0.000394,1.496779
60.976315,-18.024208,1.007577,-0.000597,1.584628
55.001205,1.781039,0.879855,-0.001499,1.598865
55.000931,-1.778780,0.880175,0.001515,1.599458
60.976326,-13.993402,1.010313,-0.000428,1.614915
60.976330,13.932343,1.010377,0.000446,1.615369
60.975605,5.862365,1.002517,-0.000248,1.636582
60.975624,-5.842955,1.003159,0.000307,1.637678
60.975906,-9.960988,1.013827,-0.000235,1.640917
60.975945,9.916138,1.013892,0.000267,1.641213
55.001225,18.032124,1.007873,0.000604,1.741264
55.001232,-18.024195,1.007871,-0.000586,1.741334
55.001328,-13.993402,1.010649,-0.000373,1.780770
55.001335,13.932349,1.010703,0.000388,1.781335
48.939632,1.781038,0.876794,-0.001900,1.790401
48.939686,-1.778781,0.876850,0.001782,1.790516
55.001621,-9.960984,1.014206,-0.000129,1.814442
55.001507,9.916162,1.014231,0.000151,1.814748
55.001682,5.862359,1.004718,-0.000446,1.816417
55.001717,-5.842957,1.005315,0.000475,1.817562
48.940041,18.032116,1.008233,0.000665,1.933098
48.940037,-18.024202,1.008231,-0.000647,1.933196
48.940063,-13.993400,1.011067,-0.000391,1.986327
48.940071,13.932349,1.011126,0.000401,1.987097
42.946861,-1.778780,0.873007,0.002099,2.031025
48.939919,-9.960983,1.014678,-0.000098,2.031658
48.939922,9.916162,1.014732,0.000091,2.032130
42.946983,1.781038,0.873566,-0.002129,2.032316
48.939724,5.862358,1.007191,-0.000620,2.043415
48.939728,-5.842953,1.007744,0.000545,2.044632
42.946903,18.032122,1.008647,0.000825,2.165459
42.946899,-18.024202,1.008646,-0.000802,2.165601
42.946880,-13.993404,1.011556,-0.000505,2.239486
42.946854,13.932340,1.011617,0.000527,2.240558
42.946861,9.916156,1.015305,0.000191,2.303492
42.946934,-9.960983,1.015240,-0.000152,2.302812
42.946930,5.862356,1.009797,-0.000495,2.329664
42.946949,-5.842952,1.010359,0.000556,2.331099
36.961082,-1.778781,0.868787,0.002479,2.347838
36.961082,1.781023,0.870151,-0.002585,2.351517
36.961365,18.032112,1.009105,0.001112,2.453727
36.961342,-18.024200,1.009110,-0.001090,2.453948
36.961380,-13.993420,1.012128,-0.000758,2.560948
36.961369,13.932332,1.012176,0.000777,2.562469
36.961411,-9.960989,1.015934,-0.000340,2.653949
36.961426,9.916159,1.015948,0.000371,2.654790
36.961132,5.862361,1.012653,-0.000399,2.705953
36.961220,-5.842952,1.013146,0.000462,2.707484
30.928747,-1.778779,0.864341,0.002884,2.790025
30.928753,1.781018,0.866446,-0.003127,2.796810
30.928473,18.032108,1.009588,0.001587,2.819987
30.928452,-18.024193,1.009593,-0.001568,2.820316
30.928455,-13.993433,1.012771,-0.001224,2.983407
30.928467,13.932317,1.012828,0.001232,2.985788
30.928371,-9.960981,1.016741,-0.000760,3.129124
30.928362,9.916162,1.016792,0.000745,3.130603
30.928553,5.862355,1.015891,-0.000171,3.227178
30.928432,-5.842948,1.016125,0.000046,3.228302
24.914701,18.032104,1.010019,0.002332,3.284038
24.914700,-18.024199,1.010028,-0.002310,3.284562
24.914780,-1.778777,0.860332,0.003391,3.444358
24.914890,1.781015,0.862625,-0.003297,3.453500
24.914736,-13.993446,1.013442,-0.002002,3.546546
24.914747,13.932341,1.013504,0.002024,3.550472
24.914713,-9.960968,1.017697,-0.001491,3.792833
24.914715,9.916171,1.017765,0.001529,3.795434
18.896976,18.032133,1.010245,0.003443,3.867733
18.896969,-18.024214,1.010263,-0.003421,3.868609
24.914768,5.862400,1.019343,0.000627,3.982559
24.914738,-5.842935,1.019464,-0.000531,3.983728
18.896927,-13.993463,1.014018,-0.003281,4.312411
18.896936,13.932324,1.014066,0.003308,4.319293
18.897020,-1.778783,0.856934,0.003640,4.514838
18.897097,1.781012,0.860460,-0.003758,4.533352
12.893353,18.032120,1.009967,0.004995,4.556136
12.893351,-18.024231,1.009997,-0.004983,4.557592
18.896933,-9.960965,1.018738,-0.002855,4.769049
18.896942,9.916181,1.018759,0.002898,4.773805
18.896994,5.862445,1.022631,0.002017,5.168606
18.896980,-5.842925,1.022804,-0.001948,5.170991
12.893349,-13.993477,1.014190,-0.005275,5.330127
12.893363,13.932254,1.014241,0.005293,5.343021
12.893360,-9.961025,1.019580,-0.005132,6.257873
12.893348,9.916161,1.019596,0.005151,6.268513
12.893466,-1.778780,0.857520,0.003003,6.588451
12.893407,1.781021,0.860965,-0.003059,6.614794
12.893317,5.862422,1.025130,0.004452,7.237883
12.893292,-5.842898,1.025192,-0.004424,7.242459
